name,price,rating,reviews_count,screen_size,processor,ram,storage,gpu,url,image,source
"Apple New 2025 MacBook Air MC6T4 13-Inch Display, Apple M4 Chip 10-Core CPU 8-Core GPU Processor/16GB RAM/256GB SSD/macOS English/Arabic Sky Blue","62,091",4.6,2.5K,"13""",Apple M4,16GB,256GB SSD,,https://www.noon.com/egypt-en/new-2025-macbook-air-mc6t4-13-inch-display-apple-m4-chip-10-core-cpu-8-core-gpu-processor-16gb-ram-256gb-ssd-macos-english-arabic-sky-blue/N70154926V/p/?o=a8939e4933f7ac4f,https://f.nooncdn.com/p/pzsku/Z86813407F49F1DB577E8Z/45/_/1779094462/2e2abd11-9c12-4fb7-aaca-383fcabe784f.jpg?width=800,Noon
Lenovo LAPTOP LENOVO LEGION 5 15IAX10 Intel Core Ultra 9 275HX RAM (2*16 ) 32G DDR5 5600 HDD 1T SSD M2 NVME VGA NVIDIA GeForce RTX 5070 8GB GDDR7 15.1 WQXGA (2560x1600) OLED 165 HZ DOS 2 YEAR WARRENTY 83F00072ED English/Arabic Eclipse Black,"100,770",,,,,,,RTX 5070,https://www.noon.com/egypt-en/laptop-lenovo-legion-5-15iax10-intel-core-ultra-9-275hx-ram-2-16-32g-ddr5-5600-hdd-1t-ssd-m2-nvme-vga-nvidia-geforce-rtx-5070-8gb-gddr7-15-1-wqxga-2560x1600-oled-165-hz-dos-2-year-warrenty-83f00072ed-english-arabic-eclipse-black/N70269989V/p/?o=ac2d39434a41460f,https://f.nooncdn.com/p/pnsku/N70269989V/45/_/1766077839/31294662-f7cf-41da-a82b-65d967302caf.jpg?width=800,Noon
MSI LAPTOP MSI Katana 15 HX B14WEK Black Intel Core i7-14650HX RAM 16G DDR5 8GB*2 SSD 512 GB NVMe VGA NVIDIA GeForce RTX 5050 GDDR7 8GB 15.6 QHD ( 2560*1440 ) 165Hz Windows 11 Home A ( 9S7-1587C1-832 ) english_arabic,"55,581",,,,Intel Core i7-14650HX RAM 16G DDR5 8GB,,512 GB NVMe,RTX 5050,https://www.noon.com/egypt-en/laptop-msi-katana-15-hx-b14wek-black-intel-core-i7-14650hx-ram-16g-ddr5-8gb-2-ssd-512-gb-nvme-vga-nvidia-geforce-rtx-5050-gddr7-8gb-15-6-qhd-2560-1440-165hz-windows-11-home-a-9s7-1587c1-832-english-arabic/N70278626V/p/?o=fdeb2aed47ad061c,https://f.nooncdn.com/p/5c6e95c6bee35f1da03dc4d761e34074%7Cpzsku/ZFF82F35D5D4CF33013B4Z/45/1768486085/d9303548-a3ff-4e8a-8718-6f95ce504ad4.jpg?width=800,Noon
"Apple New 2025 MacBook Air MW123 13-Inch Display, Apple M4 Chip 10-Core CPU 8-Core GPU Processor/16GB RAM/256GB SSD/macOS English/Arabic Midnight","63,000",4.6,2.5K,"13""",Apple M4,16GB,256GB SSD,,https://www.noon.com/egypt-en/new-2025-macbook-air-mw123-13-inch-display-apple-m4-chip-10-core-cpu-8-core-gpu-processor-16gb-ram-256gb-ssd-macos-english-arabic-midnight/N70154925V/p/?o=aeb7f811e8d67bbe,https://f.nooncdn.com/p/pzsku/ZCB37D68485C714149ED4Z/45/_/1779093805/c3e07bbf-135f-4227-9db0-6506aa77164a.jpg?width=800,Noon
"Lenovo Legion Pro 5 16IRX9 (Upgraded Version) Laptop With 16-Inch Display, Core i7-14650HX Processor/16GB RAM/1TB SSD/Nvidia GeForce RTX 4060 Graphics Card/Windows 11 English/Arabic Black","75,573",4.8,9,"16""",,16GB,1TB SSD,RTX 4060,https://www.noon.com/egypt-en/legion-pro-5-16irx9-upgraded-version-laptop-with-16-inch-display-core-i7-14650hx-processor-16gb-ram-1tb-ssd-nvidia-geforce-rtx-4060-graphics-card-windows-11-english-arabic-black/N70044731V/p/?o=b25a1c4529711f8c,https://f.nooncdn.com/p/pnsku/N70044731V/45/_/1707303830/d03e2a47-6bb6-4871-a805-eee7fd3d0612.jpg?width=800,Noon
Apple New 2026 MacBook Air MDHA4 13 Inch Display | M5 Air 10-Core CPU 8-Core GPU | 16GB RAM | 512GB SSD | macOS | English Keyboard | Starlight,"65,373",4.8,108,"13""",,16GB,512GB SSD,,https://www.noon.com/egypt-en/new-2026-macbook-air-mdha4-13-inch-display-m5-air-10-core-cpu-8-core-gpu-16gb-ram-512gb-ssd-macos-english-keyboard-starlight/N70298806V/p/?o=eeab2dcea9628c4a,https://f.nooncdn.com/p/pzsku/ZF33AD308ED7C8FEF62AFZ/45/_/1779094631/3e10b820-8dd7-4906-8363-7348ab0f9279.jpg?width=800,Noon
"Lenovo (Upgraded Version) LOQ 15IAX9E Gaming (2025) Laptop With 15.6-Inch FHD Display,Core i5-12450HX Processor/16GB RAM/512GB SSD/6GB NVIDIA GeForce RTX 3050 Graphics Card/Windows 11 Home English/Arabic Luna Grey English/Arabic Luna Grey","42,222",4.0,19,"15.6""",,16GB,512GB SSD,RTX 3050,https://www.noon.com/egypt-en/upgraded-version-loq-15iax9e-gaming-2025-laptop-with-15-6-inch-fhd-display-core-i5-12450hx-processor-16gb-ram-512gb-ssd-6gb-nvidia-geforce-rtx-3050-graphics-card-windows-11-home-english-arabic-luna-grey-english-arabic-luna-grey/N70163976V/p/?o=fec78b2c6da97e3b,https://f.nooncdn.com/p/pnsku/N70163976V/45/_/1764242314/136b0ccf-2c56-4e66-90da-f19f7443e091.jpg?width=800,Noon
"Lenovo (Upgraded Version) LOQ 15ARP9 Gaming Laptop with LA1 AI Chip, 15.6â€ FHD (1920x1080) 144Hz, AMD Ryzen 5 7235HS, 12GB DDR5 RAM, 512GB SSD, NVDIA RTX 3050 6GB, White Backlit, Win11 English Luna Grey English Luna Grey","35,910",3.8,93,,Ryzen 5 7235HS,,512GB SSD,RTX 3050,https://www.noon.com/egypt-en/upgraded-version-loq-15arp9-gaming-laptop-with-la1-ai-chip-15-6-fhd-1920x1080-144hz-amd-ryzen-5-7235hs-12gb-ddr5-ram-512gb-ssd-nvdia-rtx-3050-6gb-white-backlit-win11-english-luna-grey-english-luna-grey/N70127136V/p/?o=bda3ef0c879b64ef,https://f.nooncdn.com/p/pnsku/N70127136V/45/_/1730872020/e374e385-449a-4c73-81a9-92b6161256bb.jpg?width=800,Noon
"DELL (Upgraded Version) Latitude 7420 Laptop With 14-Inch FHD Display, Core i7-1185G7 Processer/16GB RAM/512GB SSD/Intel Iris Plus Graphics/Windows 10 Pro /International Version English Black","20,400",3.1,6,"14""",,16GB,512GB SSD,,https://www.noon.com/egypt-en/upgraded-version-latitude-7420-laptop-with-14-inch-fhd-display-core-i7-1185g7-processer-16gb-ram-512gb-ssd-intel-iris-plus-graphics-windows-10-pro-international-version-english-black/N53269392A/p/?o=a803cea8b762c2de,https://f.nooncdn.com/p/v1656599539/N53269392A_1.jpg?width=800,Noon
"Lenovo LOQ 15IRX9 Gaming Laptop, 15.6"" FHD 144Hz IPS Display, Intel Core i7-13650HX, 16GB DDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 3050 6GB, Backlit ENG Keyboard English Luna Grey","50,704",3.9,3,"15.6""",Intel Core i7-13650HX,,512GB SSD,RTX 3050,https://www.noon.com/egypt-en/loq-15irx9-gaming-laptop-15-6-fhd-144hz-ips-display-intel-core-i7-13650hx-16gb-ddr5-ram-512gb-ssd-nvidia-geforce-rtx-3050-6gb-backlit-eng-keyboard-english-luna-grey/N70271302V/p/?o=f9d192031b2cdb5a,https://f.nooncdn.com/p/pnsku/N70271302V/45/_/1766739127/3b6ca64e-b5e3-4d8a-a5d5-2678bad6634d.jpg?width=800,Noon
"Apple New 2025 MacBook Air MC6U4 13-Inch Display, Apple M4 Chip 10-Core CPU 10-Core GPU Processor/16GB RAM/512GB SSD/macOS(International Version) Sky Blue","70,000",4.6,2.5K,"13""",Apple M4,16GB,512GB SSD,,https://www.noon.com/egypt-en/new-2025-macbook-air-mc6u4-13-inch-display-apple-m4-chip-10-core-cpu-10-core-gpu-processor-16gb-ram-512gb-ssd-macos-international-version-sky-blue/N70154916V/p/?o=ba0567f11849e60f,https://f.nooncdn.com/p/pzsku/Z97D9CFF0F65F16AA8A7CZ/45/_/1779094772/a699772c-78c2-4501-84ce-5b7f2dbef5c8.jpg?width=800,Noon
"Lenovo IdeaPad 5 Laptop With 15.6-Inch Display, Core i5-1235U Processor/16GB RAM/512GB SSD/2GB NVIDIA GeForce MX550 Graphics Card/Windows 11 Home English/Arabic Storm Grey","34,500",4.6,9,"15.6""",,16GB,512GB SSD,,https://www.noon.com/egypt-en/ideapad-5-laptop-with-15-6-inch-display-core-i5-1235u-processor-16gb-ram-512gb-ssd-2gb-nvidia-geforce-mx550-graphics-card-windows-11-home-english-arabic-storm-grey/N70048443V/p/?o=b3aa78e1e41a164c,https://f.nooncdn.com/p/pnsku/N70048443V/45/_/1716874624/5b1d115d-5a60-4000-8d36-381c094442e0.jpg?width=800,Noon
"Apple New 2025 MacBook Air MW0Y3 13-Inch Display, Apple M4 Chip 10-Core CPU 8-Core GPU Processor/16GB RAM/256GB SSD/macOS English/Arabic Starlight","63,500",4.6,2.5K,"13""",Apple M4,16GB,256GB SSD,,https://www.noon.com/egypt-en/new-2025-macbook-air-mw0y3-13-inch-display-apple-m4-chip-10-core-cpu-8-core-gpu-processor-16gb-ram-256gb-ssd-macos-english-arabic-starlight/N70154924V/p/?o=ca1fecce1729f63f,https://f.nooncdn.com/p/pzsku/Z4CA2886EE7DB69D4148EZ/45/_/1779095041/eca82f9f-3864-4470-98eb-e30d3e6a18ea.jpg?width=800,Noon
"Apple MacBook Neo | 13-Inch Display | A18 Pro, 6-core CPU, 5-core GPU, 16-core Neural Engine Processor | 8GB RAM | 512GB SSD| English And Arabic Keyboard | Citrus","49,036",4.7,174,"13""",,8GB,512GB SSD,,https://www.noon.com/egypt-en/macbook-neo-13-inch-display-a18-pro-6-core-cpu-5-core-gpu-16-core-neural-engine-processor-8gb-ram-512gb-ssd-english-and-arabic-keyboard-citrus/N70305946V/p/?o=b20c948b661eba2d,https://f.nooncdn.com/p/pzsku/Z793D1446334ACB3B2FBEZ/45/_/1779094404/644d2fe1-1e37-4b51-9ae0-b7a1a9c7f0ac.jpg?width=800,Noon
"Apple New 2025 MacBook Air MC7C4 15-Inch Display, Apple M4 Chip 10-Core CPU 10-Core GPU Processor/16GB RAM/512GB SSD/macOS(International Version) Sky Blue","78,773",4.6,2.5K,"15""",Apple M4,16GB,512GB SSD,,https://www.noon.com/egypt-en/new-2025-macbook-air-mc7c4-15-inch-display-apple-m4-chip-10-core-cpu-10-core-gpu-processor-16gb-ram-512gb-ssd-macos-international-version-sky-blue/N70154908V/p/?o=fc08995c2dbb54fb,https://f.nooncdn.com/p/pzsku/Z9F31BA4DF2D361DCCF77Z/45/_/1779093934/f659def8-e643-4788-a60b-4f6be70c1e2c.jpg?width=800,Noon
"Lenovo LOQ 15IRX9 Laptop With 15.6-Inch Display, Core i5-13450HX Processor/16GB RAM/512GB SSD/6GB GeForce RTX 3050 Graphics/DOS(Without Windows)/ English/Arabic Luna Grey","44,500",4.8,11,"15.6""",,16GB,512GB SSD,RTX 3050,https://www.noon.com/egypt-en/loq-15irx9-laptop-with-15-6-inch-display-core-i5-13450hx-processor-16gb-ram-512gb-ssd-6gb-geforce-rtx-3050-graphics-dos-without-windows-english-arabic-luna-grey/N70104774V/p/?o=e30edac709ad0f9b,https://f.nooncdn.com/p/pnsku/N70104774V/45/_/1725209685/1f89af5f-4ccc-4519-929c-dca608ed1e8f.jpg?width=800,Noon
"DELL (Upgraded Version) Vostro 3530 Laptop With 15.6-Inch Display, Core i7-1355U Processor/8GB RAM/512GB SSD/Intel HD Graphics/DOS(Without Windows) / / English/Arabic Black","33,603",4.2,23,"15.6""",,8GB,512GB SSD,,https://www.noon.com/egypt-en/upgraded-version-vostro-3530-laptop-with-15-6-inch-display-core-i7-1355u-processor-8gb-ram-512gb-ssd-intel-hd-graphics-dos-without-windows-english-arabic-black/N70167174V/p/?o=bcb9772f714fcf9d,https://f.nooncdn.com/p/pnsku/N70167174V/45/_/1744285763/a0814176-ae36-4307-8f6e-533719afb3ed.jpg?width=800,Noon
"Apple New 2025 MacBook Air MC7A4 15-Inch Display, Apple M4 Chip 10-Core CPU 10-Core GPU Processor/16GB RAM/256GB SSD/macOS(International version) Sky Blue","68,661",4.6,2.5K,"15""",Apple M4,16GB,256GB SSD,,https://www.noon.com/egypt-en/new-2025-macbook-air-mc7a4-15-inch-display-apple-m4-chip-10-core-cpu-10-core-gpu-processor-16gb-ram-256gb-ssd-macos-international-version-sky-blue/N70154958V/p/?o=a231e16a75f7607c,https://f.nooncdn.com/p/pzsku/ZE7B3593F2D099B2EEAD7Z/45/_/1779094837/f9df3302-b2ab-4f17-8121-e26a4b733c15.jpg?width=800,Noon
"Apple New 2025 MacBook Air MW1L3 15-Inch Display, M4 chip 10-core CPU and 10-core GPU Processor/16GB RAM/256GB SSD/macOS (International Version) Midnight","76,500",4.6,2.5K,"15""",,16GB,256GB SSD,,https://www.noon.com/egypt-en/new-2025-macbook-air-mw1l3-15-inch-display-m4-chip-10-core-cpu-and-10-core-gpu-processor-16gb-ram-256gb-ssd-macos-international-version-midnight/N70154914V/p/?o=d676df7ffe8dbf9c,https://f.nooncdn.com/p/pzsku/Z1CF1AF6EC227444C84E4Z/45/_/1779094020/b09cf413-fb6c-4b0e-b417-419fa6b01795.jpg?width=800,Noon
